timestamp,i_load_mean,p_instantaneous,I_load,temp_max,temperature,Vce,v_load_min,DC_Supply_voltage,temp_mean,v_load_overshoot,v_load,v_load_max,temp_std,HealthState,max_dv_dt,i_load_peak,temp_min,FaultType,Ic,temp_peak_gradient,i_load_std,Duty Cycle,temp_rise_rate,p_mean,i-load_rms,temp_trend,v_load_std,p_std,Switching_frequency,v_load_mean,DC-Supply_current,max_di_dt,p_peak
1775136794,-0.48764,49.2842,-1.07,20.32540922,20.19029582,0.116,-47.08,2.5,20.20772543,1.5146,-46.06,-44.28,0.04411524,Healthy,402.5,15.57,20.05518785,None,0.000156,2025.785184,1.448812766,0.6,0.054043562,46.503043,1.52867629,0.000110274,0.396923217,52.33862583,10,-45.7946,0.05,784,717.1542
1775136834,-0.47628,39.933,0.87,20.39296796,20.22407366,0.116,-47.24,2.5,20.21137341,2.11664,-45.9,-43.69,0.041184509,Healthy,605,10.09,20.08896433,None,0.000156,2032.540922,1.25096785,0.6,-0.02026684,45.3443834,1.338567593,-3.48E-05,0.417694039,41.55404732,10,-45.80664,0.05,588,476.6516
1775136873,-0.51412,7.7384,0.17,20.29163036,20.19029582,0.116,-47.56,2.5,20.17854149,1.32004,-45.52,-44.45,0.043347232,Healthy,442.5,10.81,20.0214117,None,0.000156,2019.029582,1.649284519,0.6,-0.037154642,51.9328362,1.727558624,-0.000122948,0.387881423,59.81302334,10,-45.77004,0.05,625.5,485.6933
1775136912,-0.55806,49.113,-1.07,20.22407366,20.19029582,0.116,-47.4,2.5,20.13577934,1.45004,-45.9,-44.34,0.040036958,Healthy,605,12.78,20.0214117,None,0.000156,2019.029582,1.738908289,0.6,0.033776892,51.0660852,1.826262029,6.00E-05,0.422575908,66.72788228,10,-45.79004,0.05,663.5,605.772
1775136951,-0.4852,12.0718,-0.26,20.25785184,20.22407366,0.116,-48.1,2.5,20.1351038,1.31886,-46.43,-44.5,0.040080299,Healthy,885,11.76,20.0214117,None,0.000156,2022.407366,1.62090819,0.6,0.027022103,47.7146712,1.691969976,4.22E-06,0.394678224,61.42990374,10,-45.81886,0.05,615.5,552.3672
1775136990,-0.63492,71.2225,-1.55,20.32540922,20.29163036,0.116,-47.94,2.5,20.17158333,1.84288,-45.95,-43.96,0.04408045,Healthy,590,17.88,20.05518785,None,0.000156,2017.340707,1.876767805,0.6,0.04053324,52.146451,1.981257379,0.000152925,0.463757809,75.40999629,10,-45.80288,0.05,1052.5,857.1672
1775137029,-0.4994,94.801,-2.03,20.29163036,20.25785184,0.116,-47.78,2.5,20.1942818,1.47802,-46.7,-44.34,0.037553735,Healthy,685,13.87,20.08896433,None,0.000156,2025.785184,1.748596363,0.6,-0.010133251,49.5368428,1.818513019,-1.70E-05,0.401274818,67.6579534,10,-45.81802,0.05,663.5,623.1791
1775137068,-0.39798,10.1684,0.22,20.32540922,20.22407366,0.116,-47.67,2.5,20.17050244,1.49302,-46.22,-44.28,0.042866844,Healthy,632.5,8.69,20.05518785,None,0.000156,2020.718474,1.289234238,0.6,0.010133318,42.744542,1.349263873,-8.06E-05,0.411261814,44.80801915,10,-45.77302,0.05,647.5,410.5156
1775137108,-0.44792,24.2104,-0.53,20.42674783,20.32540922,0.116,-47.35,2.5,20.24278739,1.18682,-45.68,-44.61,0.066664652,Healthy,645,11.17,20.05518785,None,0.000156,2035.918842,1.507358641,0.6,0.091202275,45.9353862,1.572501955,0.000351004,0.405471192,55.42799708,10,-45.79682,0.05,728,505.4425
1775137147,-0.34836,4.557,-0.1,20.42674783,20.32540922,0.116,-47.51,2.5,20.3208831,1.3807,-45.57,-44.39,0.042567501,Healthy,605,12.26,20.22407366,None,0.000156,2032.540939,1.45711129,0.6,-0.016889497,46.271709,1.49817489,-5.89E-05,0.407101105,49.99209515,10,-45.7707,0.05,1082.5,546.9186
1775137186,-0.60066,2.712,0.06,20.39296796,20.15651832,0.116,-47.35,2.5,20.26291889,2.30432,-45.2,-43.48,0.044550403,Healthy,605,15.52,20.15651832,None,0.000156,2032.540922,1.510592124,0.6,-0.047289487,46.5491444,1.625632492,-0.00013429,0.415568211,58.0983009,10,-45.78432,0.05,924,707.2464
